Product Name,Price,Reviews
"Acer Nitro V Gaming Laptop | Intel Core i5-13420H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 8GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-51H9",699.,"1,344"
Blue-Light Blocking Glasses Computer Reading/Gaming/TV/Phones Glasses Fashion Anti Eyestrain UV Glasses for Women Men,10.,"5,048"
"Sceptre New 27-inch Gaming Monitor 100Hz 1ms DisplayPort HDMI x2 100% sRGB AMD FreeSync Build-in Speakers, Eye Care Frameless Machine Black 2024 (E275W-FW100T)",91.,"34,246"
"RGB Mousepad Led Mouse Pad, Large Mouse Pad,Led and Big Mouse mat",9.,"6,634"
"Razer BlackShark V2 X Gaming Headset: 7.1 Surround Sound - 50mm Drivers - Memory Foam Cushion - For PC, PS4, PS5, Switch - 3.5mm Audio Jack - Black",38.,"20,731"
"Exquisite Gaming: Call of Duty: Monkeybomb - Original Mobile Phone & Gaming Controller Holder, Device Stand, Cable Guys, Licensed Figure",24.,"1,701"
"Rotating Headphone Stand - EURPMASK PC Gaming Headset Stand, Adjustable Clamp-on Headphone Holder, Headphone Hanger Hook Under Desk with 360 Degree Swivel&Cable Clip Organizer - Black",12.,"27,604"
"HP Victus 15.6"" 144Hz FHD Gaming Laptop,AMD Ryzen 5 7535HS,16GB DDR5 RAM,512GB SSD,AMD Radeon RX 6550M,Beats RTX 2050,Backlit Keyboard,Windows11 Pro, Mica Silver",580.,28
"ASUS TUF A15 Gaming Laptop: 15.6” Full HD 144Hz Display, GeForce RTX 3050, AMD Ryzen 7 7435HS, 8GB DDR5 RAM, 512GB PCIe SSD, Wi-Fi 6, Windows 11",601.,5
"Asus ROG Strix B550-F Gaming WiFi II AMD AM4 (3rd Gen Ryzen) ATX Motherboard (PCIe 4.0,WiFi 6E, 2.5Gb LAN, BIOS Flashback, HDMI 2.1, Addressable Gen 2 RGB Header and Aura Sync)",149.,"11,044"
"HP Victus 15.6 i5 Gaming Laptop, 15.6"" FHD 1920*1080 144Hz, Intel Core i5-12450H, NVIDIA GeForce RTX 3050, 32GB RAM, 1TB SSD, Backlit KB, Touchpad, SD Card Reader, Webcam, HDMI, Wi-Fi 6, W11 H, Blue",635.,130
"acer Nitro V Gaming Laptop | Intel Core i9-13900H Processor | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 16GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-99DR",949.,561
"Mr IRONSTONE L Shaped Gaming Desk Corner Computer Desk, Home Office Desks Writing Workstation with Large Monitor Stand, Easy to Assemble (Black,51 Inch)",79.,"40,889"
"AULA F75 Pro Wireless Mechanical Keyboard,75% Gasket Hot Swappable Custom Keyboard,RGB Backlit,Pre-lubed Reaper Switches,Side Printed PBT Keycaps,2.4GHz/USB-C/BT5.0 Mechanical Gaming Keyboard",66.,395
"3-in-1 PC Gaming Headset&Controller Holder - EURPMASK Headphone Stand w/Adjustable Clamp&2 Controller Holder&Rotating Arm&Cable Organizer, Universal PC Gaming Accessory Controller Headset Stand-Black",19.,657
Logitech G Pro Wireless Gaming Mouse with Esports Grade Performance,69.,"12,762"
"2.4GHz Wireless Gaming Headset for PC, Ps5, Ps4 - Lossless Audio USB & Type-C Ultra Stable Gaming Headphones with Flip Microphone, 40-Hr Battery Gamer Headset for Switch, Laptop, Mobile, Mac",32.,"7,998"
"HUANUO Dual Monitor Stand - Full Adjustable Monitor Desk Mount Swivel Vesa Bracket with C Clamp, Grommet Mounting Base for 13 to 32 Inch Computer Screens - Each Arm Holds 4.4 to 19.8lbs",59.,"29,433"
"Japanese Sea Wave Large Mouse Pad, Anime Black Gaming, Extended Kanagawa Mat Desk Pad, 3mm Thick Long Non-Slip Rubber Base Mice Pad, 31.5 X 11.8 Inch",15.,"1,534"
"Acer Nitro 27"" WQHD 2560 x 1440 PC Gaming IPS Monitor | AMD FreeSync Premium Up to 180Hz Refresh 0.5ms DCI-P3 95% 1 Display Port 1.2 & 2 HDMI 2.0 XV271U M3bmiiprx,Black",179.,"1,649"
"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Gaming Mouse, Value Combo Set [New Version]",33.,"46,321"
"Logitech G Pro X SE Wired Gaming Headset: Blue VO!CE Detachable Boom Mic, DTS 7.1, 50 mm Drivers, USB/3.5mm Aux, USB DAC Included, for PC, Xbox, PS5, PS4 - Black - G Pro X SE Wired Gaming Headset",99.,"6,738"
Razer Basilisk V3 Customizable Ergonomic Gaming Mouse: Fastest Gaming Mouse Switch - Chroma RGB Lighting - 26K DPI Optical Sensor - 11 Programmable Buttons - HyperScroll Tilt Wheel - Classic Black,39.,"7,569"
"Corsair VOID RGB ELITE Wireless Gaming Headset - 7.1 Surround Sound - Discord Certified - iCUE Compatible - PC, Mac, PS5, PS4 - White",105.,"23,315"
"ASUS ROG Strix 27” 1440P OLED Gaming Monitor (XG27ACDNG) - QD-OLED, QHD (2560 x 1440), 360Hz, 0.03ms, Custom Heatsink, OLED Care+, G-SYNC Compatible, 99% DCI-P3, DisplayWidget, AI Gaming, 3yr warranty",699.,462
"Acer Nitro KG241Y Sbiip 23.8” Full HD (1920 x 1080) VA Gaming Monitor | AMD FreeSync Premium Technology | 165Hz Refresh Rate | 1ms (VRB) | ZeroFrame Design | 1 x Display Port 1.2 & 2 x HDMI 2.0,Black",109.,"2,908"
Razer DeathAdder Essential Gaming Mouse: 6400 DPI Optical Sensor - 5 Programmable Buttons - Mechanical Switches - Rubber Side Grips - Classic Black,24.,"12,901"
"Portable Monitor 15.6 Inch 1080P USB-C HDMI Ultra-Slim Travel Monitor with Kickstand, for Laptop, PC, Mac Phone, PS, Xbox, Swich IPS Ultra-Thin Zero Frame Gaming Monitor",68.,801
"Gaming Sock, Do Not Disturb I'm Gaming,Gaming Socks for Teen Boys Gamer with Glowing, Novelty Socks for Men Dad Father Women",6.,447
